"author_name","paper_title"
"Koray Tahirog˘lu","Sounding Brush: A Tablet based Musical Instrument for Drawing and Mark Making"
"Koray Tahiroğlu","AI-terity 2.0: An Autonomous NIME Featuring GANSpaceSynth Deep Learning Model"
"Kosin Kalarat","Preserving Southern Thai Traditional Manora Dance Through Mobile Role-Playing Game Technology"
"Kostas Terzidis","Deep Permutation Design: A New Potential Artificial Intelligence-Based Design Methodology"
"Kouta Minamizawa","Feel What You Don’t Hear: A New Framework for Non-Aural Music Experiences"
"Kris De Meyer","The Justice Syndicate: using iPads to increase the intensity of participation, conduct agency and encourage flow in live interactive performance"
"Krishna Kumar Thirukokaranam Chandrasekar","Automatic Extraction of Specimens from Multi-specimen Herbaria"
"Krishnan Chandran","Sonic Structures: 4E Visual Sound in Multi-User Mixed Reality"
"Kristen Dorsey","FibeRobo: Fabricating 4D Fiber Interfaces by Continuous Drawing of Temperature Tunable Liquid Crystal Elastomers"
"Kristen Shinohara","Understanding Visual Arts Experiences of Blind People"
"Kristian Eicke","Xyborg: A Wearable Hand-based Instrument for Musical Expression"
"Kristian Nymoen","Breaking from realism: exploring the potential of glitch in AI-generated dance"
"Kristijan Ivančić","Learning Custom Experience Ontologies via Embedding-based Feedback Loops"
"Kristin Carlson","Unveiling Interfaces: A Software Studies Board Game for Algorithmic Literacy"
"Kristin Carlson","Species Interactions and Climate Change in the Loss of Joshua Trees and the Role of Eco-Art for Understanding Multispecies Connections"
"Kristin Carlson","3047: A Dark Room Body"
"Kristin Carlson","Infinitesimal to Infinity: Ryoji Ikeda’s Data Composition and Space of Sensing"
"Kristin Carlson","Evolution of the Subject: Synthetic Biology in Fine Art Practice"
"Kristin Carlson","Of Ice Shields, Oceans, and Train Yards: Research-Creation Toward Mythological Contact with a Feral Terrain"
"Kristin Carlson","Productive Bodies"
"Kristin Carlson","“Ah Ha” Moments: Novice Choreographers Using Defamiliarization in Digital Choreographic Technologies"
"Kristin Carlson","Leonardo Abstracts Service: Top-Rated LABS Abstracts 2019"
"Kristin Carlson","Responsive and Emotive Wearable Tech: Physiological Data, Devices and Communication"
"Kristin Carlson","DNA and RNA Sequences as Systems for Music Composition: Portfolio of Compositions"
"Kristin Carlson","Moving Image and the Space around the Frame: Time-Based Installations and Forms of Experience"
"Kristin Carlson","Designing a New Virtual Reality Interface for Interacting with Audio Spatialization Backends"
"Kristin Carlson","Humanizing Technology through Post-Digital Art"
"Kristin Carlson","Alternative Aesthetics of Inclusive Design"
"Kristin Carlson","Enviro-Envision: Visualizing Climate Change through Art"
"Kristin Carlson","Somatic Montage: Supra-Dimensional Composition in Cinema and the Arts"
"Kristin Mojsiewicz","Erratics on the Road to Wigan Pier: The Creation of TouchAR"
"Kristina Andersen","The 10,000 Instruments Workshop - (Im)practical Research for Critical Speculation"
"Kristina Georgoulaki","Classification of Impressionist and Pointillist Paintings Based on Their Brushstrokes Characteristics"
"Kristina Höök","Soma Design for NIME"
"Kristina Pranjić","To Know a Tree: Symbiotic Mutualism and Artistic Exploration against Anthropocentric Science"
"Kristina Pranjić","Disruptive Avant-Garde Art of Today: Shaping Post-Growth Imaginaries for Symbiotic Futures"
"Kristina Pranjić","Crossing Art, Science and Technology for Innovations through Maker Culture and Education"
"Kristina Pranjić","Taming the Forest: Embracing the complexity of art-sci research through microhistory, bioeconomics and intermedia art"
"Kristof Timmerman","Empty Mind: an exploration towards an autonomous digital experience and aesthetics within a virtual live performance"
"Kristýna Kopřivová","Conceptualization of Change"
"Krzysztof Cybulski","Post-digital sax - a digitally controlled acoustic single reed woodwind instrument"
"Ksenia Fedorova","Qualia Formation through Sensory Substitution in Artistic Laboratories in Russia"
"Kui Ren","WavoID: Robust and Secure Multi-modal User Identification via mmWave-voice Mechanism"
"Kui Wu","MagKnitic: Machine-knitted Passive and Interactive Haptics Textiles with Integrated Binary Sensing"
"Kuljit Bhamra","Demystifying tabla through the development of an electronic drum"
"Kumar Punithakumar","Deep Connection: Making Virtual Reality Artworks with Medical Scan Data"
"Kunwoo Kim","VVRMA: VRField Trip to a Computer Music Center"
"Kurt Fleischer","CurveCrafter: A System for Animated Curve Manipulation"
"Kurt Luther","DoubleCheck: Designing Community-based Assessability for Historical Person Identification"
"Kurt Mikolajczyk","Space shaping in the design process for creative coding: a case study in media multiplicities"
"Kurt Mikolajczyk","A Study of Creative Development with an IoT-based Audiovisual System: Creative Strategies and Impacts for System Design"
"Kurt Mikolajzcyk","Buildings as Audio Visual Synthesisers: Experiments Performing Live Music on Wirelessly Networked Multi-Speaker Media Architectures"
"Kwan Queenie Li","Algae Mask: Multidisciplinary exploration on material speculation"
"Kwon Ko","We-toon: A Communication Support System between Writers and Artists in Collaborative Webtoon Sketch Revision"
"Kyle Chung","Mediating Exhibitions via Audience Participation on Social Media: Collectivist and Individualist Curatorial Approaches in One World Exposition 2 Exhibitions"
"Kylie Peppler","SPEERLoom: An Open-Source Loom Kit for Interdisciplinary Learning in Math, Engineering, and Textiles"
"Kylon Chiang","Blue Ceramics: Co-designing Morphing Ceramics for Seagrass Meadow Restoration"
"Kyoung Lee Swearingen","The Woods: A Mixed-Reality Two-Player Cooperative Game"
"Kyriakos Tsoukalas","Music Computing and Computational Thinking: A Case Study"
"Kyrre Glette","Interactive Sonification of 3D Swarmalators"
"Kyu Won Kim","Interactive Flexible Style Transfer for Vector Graphics"
"Kyung Hoon Hyun","Pixel of Matter: New Ways of Seeing with an Active Volumetric Filmmaking System"
"Kyung Taek Oh","Heritage values, digital storytelling, and heritage communication: the exploration of cultural heritage sites in virtual environments"
"Kyung-hoon Hyun","Intersection of Seeing: New Ways of Experiencing Reality using Autonomous Volumetric Capture System"
"Kyungeun Lim","Cultivating Human Potential in Virtual Art Studios"
"Kyungho Lee","Misplaced Euphoria: Developing Kinesthetic Empathy Through Interactive Performance"
"Kyungsik Han","V-DAT (Virtual Reality Data Analysis Tool): Supporting Self-Awareness for Autistic People from Multimodal VR Sensor Data"
"Kyungwon Lee","EuglPollock: Rethinking Interspecies Collaboration through Art Making"
"Kyzyl Monteiro","RealityCanvas: Augmented Reality Sketching for Embedded and Responsive Scribble Animation Effects"
"Kıvanç Tatar","Bottom-up live coding: Analysis of continuous interactions towards predicting programming behaviours"
"L P Coladangelo","Wikibase Model for Premodern Manuscript Metadata Harmonization, Linked Data Integration, and Discovery"
"Laddy P. Cadavid Hinojosa","Knotting the memory//Encoding the Khipu_: Reuse of an ancient Andean device as a NIME"
"Laddy Patricia Cadavid Hinojosa","Kanchay_Yupana//: Tangible Rhythm Sequencer Inspired by Ancestral Andean Technologies"
"Laddy Patricia Cadavid Hinojosa","Being (A)part of NIME: Embracing Latin American Perspectives"
"Laetitia Kozlova","Review: Voice Becomes a Field of Study"
"Laetitia Sonami","Reflections on Eight Years of Instrument Creation with Machine Learning"
"Laia Blasco-Soplon","Debunking the quantified self through artistic data portraits"
"Laia Turmo Vidal","Joakinator: An Interface for Transforming Body Movement and Perception through Machine Learning and Sonification of Muscle-Tone and Force"
"Laida Limniati","Like real friends do: Communicating on social media with Sophia the robot"
"Lalit Aditya Kaushal","Re-conceptualizing the villain: Todd Phillips’s Joker through the lens of Vedic hermeneutics"
"Lambert R B Schomaker","How to Limit Label Dissipation in Neural-network Validation: Exploring Label-free Early-stopping Heuristics"
"Lamine Diop","TTProfiler: Types and Terms Profile Building for Online Cultural Heritage Knowledge Graphs"
"Lan Thanh Ha","TransHuman Saunter: Multispecies Storytelling in Precarious Times"
"Lance Putnam","Exhibiting Mutator VR: Procedural Art Evolves to Virtual Reality"
"Lanxi Xiao","Explainable AI for the Arts 2 (XAIxArts2)"
"Lap-Fai Yu","PoseVEC: Authoring Adaptive Pose-aware Effects Using Visual Programming and Demonstrations"
"Lara Défayes","Ming Shan Digital Experience: Immersive Technology for Traditional Taoist Meditation"
"Larissa Hjorth","Work, care and creativity in a time of COVID-19: creatively mapping presence bleed in the home"
"Larissa Nicholls","Troubleshooting as a method in COVID-19 times: smart home ethnographies and remote aged care innovation"
"Larissa Pessoa","ZoAM GameBot: A Journey to the Lost Computational World in the Amazonia"
"Lars Engeln","Sonic Structures: 4E Visual Sound in Multi-User Mixed Reality"
"Lasse Lipponen","Artificial intelligence as relational artifacts in creative learning"
"Lateef McLeod","Bishop BoomBox: A Physically Accessible Drum Machine"
"Laura Beloff","Living Biotechnical Lives: Noise, Parasites, and Relational Practices"
"Laura Forlano","From Data Doubles to Data Demons: Reflections on a CripTech Collaboration"
"Laura Gemini","On theatre mediatisation: exploring transmediality in Aldo Morto 54"
"Laura M. Herman","The Algorithmic Pedestal: A Practice-Based Study of Algorithmic and Artistic Curation"
"Laura Plana Gracia","Towards the Sonic Laboratory: Laboratories’ creative potential"
"Laura Reid","Taking back control: Taming the Feral Cello"
"Laura Trafí-Prats","Mapping the atmospheric in school buildings: Digital art-based participatory inquiry with youth"
"Laura Wise","Pieces of Peace: Women and Gender in Peace Agreements"
"Laurel Pardue","The Other Hegemony: Effects of Software Development Culture on Music Software, and What We Can Do About It"
"Laurel Pardue","What Makes a Good Musical Instrument? A Matter of Processes, Ecologies and Specificities"
"Laurel Pardue","Vodhrán: collaborative design for evolving a physical model and interface into a proto-instrument"
"Laurel Pardue","Demystifying tabla through the development of an electronic drum"
"Lauren Bon","Newton Harrison and the Trial by Fire"
"Lauren Hayes","Nuanced and Interrelated Mediations and Exigencies (NIME): Addressing the Prevailing Political and Epistemological Crises"
"Lauren Rosati","Mapping the Field of Sound Art: René Block’s Diagrammatic Modernism"
"Lauren Toler","One Step: The Impact of Interactive Public Installations on Promoting Public Awareness of Poverty Issues"
"Laurence Habib","A change of space: implications of digital fieldwork in connected homes during the COVID-19 pandemic"
"Laurent Denoue","Reactive Video: Movement Sonification for Learning Physical Activity with Adaptive Video Playback"
"Laurent Grisoni","A Taxonomy of Spectator Experience Augmentation Techniques"
"laurent grisoni","The Effect of Control-Display Ratio on User Experience in Immersive Virtual Musical Instruments"
"Laurent Grisoni","All You Need Is LOD : Levels of Detail in Visual Augmentations for the Audience"
"Laurent Mignonneau","Seeing Plants through Botanical Illustration"
"Laurent Mignonneau","AR[t]chive – Augmented Reality Experience for a Digital Art Archive"
"Laurentiu Marian Angheluţă","INFRA-ART: An Open Access Spectral Library of Art-related Materials as a Digital Support Tool for Cultural Heritage Science"
"Lauri Kilusk","Loading Ceramics: Visualising Possibilities of Robotics in Ceramics"
"Lawrence Bird","Possible City: colonial trauma and mediated space"
"Lawrence Kim","SwarmFidget: Exploring Programmable Actuated Fidgeting with Swarm Robots"
"Lawrence Wallen","on the reconstruction of landscape"
"Lawton Hall","Leander: Navigating Musical Possibility Space Through Color Data Sonification"
"Lea Albaugh","KnitScript: A Domain-Specific Scripting Language for Advanced Machine Knitting"
"Leah Findlater","Understanding Visual Arts Experiences of Blind People"
"Leah Lovett","Mobile Communications Technologies in Tree Time: The Listening Wood"
"Leah Lovett","Exploring the Materiality of Augmented Reality Markers through Arts-Led Cocreation: Drawing, Weaving, and Tiling"
"Leah Reid","Composing with Multidimensional Timbre Representations"
"Lee Barron","Smart cities, connected cars and autonomous vehicles: Design fiction and visions of smarter future urban mobility"
"Lee Cheatley","Musical creativity support tools for bereavement support"
"Lee Harrold","Transformation of Buddhist Mandalas into a Virtual Reality Installation"
"Lee Jones","The Life of a Building: Machine Knitting a Year of Visitor Data and Online Community Participation During a Pandemic"
"Lee Jones","Goldwork Embroidery: Interviews with Practitioners on Working with Metal Threads and Opportunities for E-textile Hybrid Crafts"
"Lei Dong","Wanderlust: 3D Impressionism in Human Journeys"
"Lei Zhao","AesUST: Towards Aesthetic-Enhanced Universal Style Transfer"
"Leif Kobbelt","Rilievo: Artistic Scene Authoring via Interactive Height Map Extrusion in VR"
"Leixin Luo","Body Cosmos"
"Lena Gieseke","Interaction Taxonomy for Sequencer-Based Music Performances"
"Lenore Jennifer Cowen","Identifying Cognitive and Creative Support Needs for Remote Scientific Collaboration using VR: Practices, Affordances, and Design Implications"
"Lenore Manderson","Apprehending the Environment: Watersheds of Art and Science"
"Leo Wanner","ReSilence: Retune the Soundscape of future cities through art and science collaboration"
"Leon Denise","Topographie Digitale"
"Leslie A. Ryan","Being Good Ancestors"
"Letizia Gioia Monda","Digital dance writing. A teaching tool to support the understanding of Digital Choreography"
"Lev Manovich","Cultural Viz: An Aesthetic Approach to Cultural Analytics"
"Li Song","360-Degree Panorama Generation from Few Unregistered NFoV Images"
"Li Wang","Structure-Enhanced Pop Music Generation via Harmony-Aware Learning"
"Li Yang","The Rebirth of Shadow Arts: App Design for the Intangible Cultural Heritage of Chinese Traditional Shadow Art"
"Li-Yi Wei","Automated Conversion of Music Videos into Lyric Videos"
"Lia Martins","ZoAM GameBot: A Journey to the Lost Computational World in the Amazonia"
"Lia Mice","The M in NIME: Motivic analysis and the case for a musicology of NIME performances"
"Lia Mice","Exploring Experiences with New Musical Instruments through Microphenomenology"
"Lia Mice","From miming to NIMEing: the development of idiomatic gestural language on large scale DMIs"
"Liam Birtles","Creative audio design for a massively multipoint sound and light system"
"Liam Jarvis","TechNO-fixes?: performances within ecological emergencies"
"Lian Loke","Aesthetic Qualities of Thermal and Vibrotactile Materials for Somatic Contemplation"
"Liang He","3D Printing Magnetophoretic Displays"
"Liang Wang","Affective Color Fields: Reimagining Rothkoesque Artwork as an Interactive Companion for Artistic Self-Expression"
"Liang Zhi","FaceType: Crafting Written Impressions of Spoken Expression"
"Liangjin Chen","OmniScribe: Authoring Immersive Audio Descriptions for 360° Videos"
"Liat Lavi","OBJECTIFYING THE GAZE"
"Lichen Yang","From Gap to Synergy: Enhancing Contextual Understanding through Human-Machine Collaboration in Personalized Systems"
"Lida Shi","CharFormer: A Glyph Fusion based Attentive Framework for High-precision Character Image Denoising"
"Lidia M Ortega-Alvarado","Integrated Information System for 3D Interactive Reconstruction of an Archaeological Site"
"Lifeng Zhu","Haptic Rendering of Neural Radiance Fields"
"Lijiaozi Cheng","ReCollection: Creating synthetic memories with AI in an interactive art installation"
"Lik Hang Lee","Feeling Present! From Physical to Virtual Cinematography Lighting Education with Metashadow"
"Lik-Hang Lee","A systematic review of virtual brainstorming from the perspective of creativity: affordances, framework, and outlook"
"Lilia Pavlova","Full-Fledged Access and Usability of Content in a Digital Cultural Heritage Library: Approaches, Paradigms, and Implementation"
"Liliana Farber","Digital Oceans and Algorithmic Castaways"
"Lilla Julia Toth","DuoRhythmo: Design and remote user experience evaluation (UXE) of a collaborative accessible digital musical interface (CADMI) for people with ALS (PALS)"
"Lillian Lu Nguyen","Sookyung Cho"
"Lin Chen","‘Curtains, music and stages’ in Zoom theatre: framing devices in Coney’s Telephone"
"Lin Du","Probing Historical Image Contexts: Enhancing Visual Archive Retrieval through Computer Vision"
"Lin Wang","Heraclitus's Forest: An Interactive Artwork for Oral History"
"Linda Candy","Space shaping in the design process for creative coding: a case study in media multiplicities"
"Linda Gusia","Tangible User Interfaces for Enhancing User Experience of Virtual Reality Cultural Heritage Applications for Utilization in Educational Environment"
"Lindsay D. Grace","The Unbearable Lightness of Meaning Game"
"Lindsay D. Grace","Hauntology, the Penumbra, and the Narratives of Play Experience"
"Lindsay Popowski","Social Simulacra: Creating Populated Prototypes for Social Computing Systems"
"Lindsey M. Ward","Art Exists Because the Viewer Exists: How François Morellet’s Triple X Neon Influences Postural Control and Subjective Aesthetic Appreciation"
"Lingchien Yang","NFCStack: Identifiable Physical Building Blocks that Support Concurrent Construction and Frictionless Interaction"
"Lingdong Huang","Legend of Wrong Mountain: AI Generated Opera"
"Lingdong Huang","Mimicry: Genetic-algorithm-based Real-time System of Virtual Insects in a Living Environment-A New and Altered Nature"
"Lingfei Yang","Immersive experience of Chinese poems and paintings"
"Linghao Zhu","EmTex: Prototyping Textile-Based Interfaces through An Embroidered Construction Kit"
"Lingwei Tong","Applying Cinematic Virtual Reality with Adaptability to Indigenous Storytelling"
"Lingyao Zhang","Developing Creative AI to Generate Sculptural Objects"
"Lingyun Yu","AR-Enhanced Workouts: Exploring Visual Cues for At-Home Workout Videos in AR Environment"
"Lingyun Yu","REMOT: A Region-to-Whole Framework for Realistic Human Motion Transfer"
"Lining Yao","Blue Ceramics: Co-designing Morphing Ceramics for Seagrass Meadow Restoration"
"Lining Yao","Sustainflatable: Harvesting, Storing and Utilizing Ambient Energy for Pneumatic Morphing Interfaces"
"Linnea Kirby","Introducing the t-Tree: Using Multiple t-Sticks for Performance and Installation"
"Linnea Kirby","Towards the T-Tree 2.0: Lessons Learned From Performance With a Novel DMI and Instrument Hub"
"Linqi Wang","Under the Green: Visual data storytelling the process of urban CO2 neutralization by forests"
"Lins Derry","Data embodiment: approaching the body as a choreographic medium for performing abstract data"
"Lior Arbel","Aeolis: A Virtual Instrument Producing Pitched Tones With Soundscape Timbres"
"Liron Efrat","Seeing is Sensing: Three Strategies for Multisensory Experience in Mixed Reality Art"
"Liron Efrat","REALational Perspectives: Strategies for Expanding beyond the Here and Now in Mobile Augmented Reality (AR) Art"
"Lisa Andersson López","Sensitiv – Designing a Sonic Co-play Tool for Interactive Dance"
"Lisa Chandler","Abstracts from the Spectra 2018 Symposium Part 4: Interspecies"
"Lisa Deml","“The Right to the Image”: Ethics of Representation and Appropriation in New Media Art Archives since the 2011 Arab Uprisings"
"Lisa Korpos","Top-Rated LABS Abstracts 2021"
"Lisa Moren","Emerging Strategies “Under The Bay” in AR/XR"
"Lisa Schonberg","Cryptic insect soundscapes: Ecological sound art as a prompt for auralization"
"Lisa SoYoung Park","A Cautionary Tale of Urban Media Art: Media-Bait, Planned Censorship and Its Repercussions"
"Lisa Stoneman","Drawing New Boundaries: Finding the Origins of Dragons in Carboniferous Plant Fossils"
"Lisa Zahray","Mechatronics-Driven Musical Expressivity for Robotic Percussionists"
"Lise Jaillant","Are Users of Digital Archives Ready for the AI Era? Obstacles to the Application of Computational Research Methods and New Opportunities"
"Lise Jaillant","Introduction to the Special Issue “Applying Innovative Technologies to Digitised and Born-Digital Archives”"
"Liu Chunxi Tracy","The Memory of Street - Hong Kong: History, Culture, Memory and Post-Humanism"
"Liu Liu","Perspective of Digital Humanities On Person Names in Chinese Pre-Qin Classic"
"Liu Yang","FibeRobo: Fabricating 4D Fiber Interfaces by Continuous Drawing of Temperature Tunable Liquid Crystal Elastomers"
"Liwenhan Xie","Wakey-Wakey: Animate Text by Mimicking Characters in a GIF"
"Liz Lessner","Sensory and Spatial Koans"
"Lizzie Muller","Emergent Knowledge in the Third Space of Art-Science"
"Lloyd May","Nerve Sensors in Inclusive Musical Performance"
"Lloyd May","Co-Designing Haptic Instruments With Deaf and Hard-of-Hearing Children"
"Lloyd May","Bishop BoomBox: A Physically Accessible Drum Machine"
"Lloyd May","Participatory Design of a Collaborative Accessible Digital Musical Interface with Children with Autism Spectrum Disorder"
"Lloyd May","Riddare of The Round Table: Inclusive Haptic Performance Practices in The Wild"
"Loai Dabbour","Procedural Modeling Based Shape Grammar as a Key to Generating Digital Architectural Heritage"
"Lodewijk L Gelauff","Wiki Loves Monuments: Crowdsourcing the Collective Image of the Worldwide Built Heritage"
"Lonce Wyse","Syntex: Parametric Audio Texture Datasets for Conditional Training of Instrumental Interfaces"
"Lora Oehlberg","Algorithmic Rituals: Participatory and Embodied Explorations of Algorithmic Decision-Making"
"Lora Oehlberg","Touch Responsive Augmented Violin Interface System II: Integrating Sensors into a 3D Printed Fingerboard"
"Lorella Di Cintio","Emergent. A post-pandemic living mobile gallery"
"Lorella Giannandrea","Evaluating Learning Outcomes of Virtual Reality Applications in Education: A Proposal for Digital Cultural Heritage"
"Lorella Viola","Networks of Migrants’ Narratives: A Post-authentic Approach to Heritage Visualisation"
"Loren Kronemyer","Epoch wars: negotiating artistic agency in deep and shallow time"
"Loren P. Bergantini","Can art contribute to the research on multisensory processes?"
"Lorenz Schwarz","Wireless Sound Modules"
"Lori Hanson","CHIME Design Lab: Community-centred, Collaborative Health Innovation partnered with Medical Education"
"Lorin Bruckner","On the Books: Jim Crow and Algorithms of Resistance, a Collections as Data Case Study"
"Lotus Zhang","Understanding Visual Arts Experiences of Blind People"
"Louie Søs Meyer","Algorithmic Ways of Seeing: Using Object Detection to Facilitate Art Exploration"
"Louis Daumard","Deep Permutation Design: A New Potential Artificial Intelligence-Based Design Methodology"
"Louis G. Tassinary","The zoom function"
"Louis H. Kauffman","Reflections on reflexivity"
"Louis McCallum","Supporting Interactive Machine Learning Approaches to Building Musical Instruments in the Browser"
"Louis Pratt","Reflections on Light: Developing New Methods for Producing Anamorphic Sculpture"
"Louise Foo","Eleven Movements of the Cryoscape – Ecological Explorations in Sonification for Affectively Engaging with Climate Change"
"Louise Mackenzie","Somatic Montage: Supra-Dimensional Composition in Cinema and the Arts"
"Louise Mackenzie","Of Ice Shields, Oceans, and Train Yards: Research-Creation Toward Mythological Contact with a Feral Terrain"
"Louise Mackenzie","Ruptures and Wrong-Footings: Destabilizing Disciplinary Cultures"
"Louise Mackenzie","Alternative Aesthetics of Inclusive Design"
"Louise Mackenzie","DNA and RNA Sequences as Systems for Music Composition: Portfolio of Compositions"
"Louise Mackenzie","Moving Image and the Space around the Frame: Time-Based Installations and Forms of Experience"
"Louise Mackenzie","Enviro-Envision: Visualizing Climate Change through Art"
"Louise Mackenzie","Responsive and Emotive Wearable Tech: Physiological Data, Devices and Communication"
"Louise Mackenzie","Body shopping: Challenging convention in the donation and use of bodily materials through art practice"
"Louise Mackenzie","“Ah Ha” Moments: Novice Choreographers Using Defamiliarization in Digital Choreographic Technologies"
"Louise Mackenzie","Productive Bodies"
"Louise Mackenzie","Humanizing Technology through Post-Digital Art"
"Louise Mackenzie","Leonardo Abstracts Service: Top-Rated LABS Abstracts 2019"
"Louise Mackenzie","BioDwelling: A participatory approach to living with living material"
"Louise Mackenzie","Infinitesimal to Infinity: Ryoji Ikeda’s Data Composition and Space of Sensing"
"Louise Mackenzie","Species Interactions and Climate Change in the Loss of Joshua Trees and the Role of Eco-Art for Understanding Multispecies Connections"
"Louise Mackenzie","3047: A Dark Room Body"
"Louise Mackenzie","Offering the Body: Performing proximity in the use of cellular material"
"Louise Mackenzie","Unveiling Interfaces: A Software Studies Board Game for Algorithmic Literacy"
"Louise Mackenzie","Evolution of the Subject: Synthetic Biology in Fine Art Practice"
"Louise Newman","“Dancing with Atoms”: A Tribute to Sheila Tinney"
"Louise Sime","The Data Imaginaries of Climate Art: The Manifest Data Project"
"Louise Sundararajan","Harold Cohen and AARON: Collaborations in the Last Six Years (2010–2016) of a Creative Life"
"Lowana-Skye Davies","Creative Futuring for More-Than-Human Worlds: Exhibitions as Sites to Ponder Environmental Governance"
"Lozana Rossenova Mehandzhiyska","Top-Rated LABS Abstracts 2021"
"Luana Santos","All is Noise: In Search of Enlightenment, a VR Experience"
"Luc de Witte","Agency and Creativity in Musical Interaction for Those Living with Dementia and Cognitive Decline"
"Luc Geurts","Interactive Technology as Toolkit—Structure of Communication, Senseware, and Research Strategy"
"Luca Befera","The black box aesthetics: performative dynamics between artificial intelligence and human interactive staging"
"Luca Forcucci","LASER Nomad: Road Maps for Art and Science Research into Ancestral Knowledge"
"Luca Forcucci","Rituals of art and science to decompart(mentalize) knowledge"
"Luca Junge","Learning to Listen Properly: Participatory Digital Projects at the German Maritime Museum Based on Iterative Co-Creation"
"Luca Maria Aiello","HeartBees: Visualizing Crowd Affects"
"Luca Rigobianco","Describing Inscriptions of Ancient Italy. The ItAnt Project and Its Information Encoding Process"
"Luca Turchet","Handheld controller-based locomotion in Virtual Reality as an approach to interactive music composition: insights from composers’ preferences"
"Luca Turchet","Muscle-Guided Guitar Pedalboard: Exploring Interaction Strategies Through Surface Electromyography and Deep Learning"
"Luca Turchet","Esteso: Interactive AI Music Duet Based on Player-Idiosyncratic Extended Double Bass Techniques"
"Luca Turchet","Harmonizing the Musical Metaverse: Unveiling Needs, Tools, and Challenges from Experts’ Point of View"
"Luca Turchet","User Needs in the Musical Metaverse: A Case Study with Electroacoustic Musicians"
"Lucas Pawlik","Death risk: Lack of movement: The ignored pandemic of digitalization escalates the COVID-19 crisis"
"Luchin Chang","ReLyMe: Improving Lyric-to-Melody Generation by Incorporating Lyric-Melody Relationships"
"Lucia Giagnolini","CLEF. A Linked Open Data Native System for Crowdsourcing"
"Luciana Lima","Arts and Gaming, Convergent Feminism and Speculative Futures"
"Luciana Perc","Sonic Wings: A Wearable Live Electronics Device for Performing Mixed Music"
"Luciano Frizzera","Step, step, rest, step: challenging age-related norms and biometric bodies through self-tracking data-rematerialization"
"Lucie F. Jones","AWearable Technology for Wind Musicians: Does It Matter How you Breathe?"
"Lucie Ketelsen","Reinterpreting the pretty picture: A speculative aesthetics of microscopy"
"Lucie Lederhendler","Humanizing Technology through Post-Digital Art"
"Lucie Lederhendler","3047: A Dark Room Body"
"Lucie Lederhendler","“Ah Ha” Moments: Novice Choreographers Using Defamiliarization in Digital Choreographic Technologies"
"Lucie Lederhendler","Leonardo Abstracts Service: Top-Rated LABS Abstracts 2019"
"Lucie Lederhendler","Responsive and Emotive Wearable Tech: Physiological Data, Devices and Communication"
"Lucie Lederhendler","Enviro-Envision: Visualizing Climate Change through Art"
"Lucie Lederhendler","Somatic Montage: Supra-Dimensional Composition in Cinema and the Arts"
"Lucie Lederhendler","Of Ice Shields, Oceans, and Train Yards: Research-Creation Toward Mythological Contact with a Feral Terrain"
"Lucie Lederhendler","Species Interactions and Climate Change in the Loss of Joshua Trees and the Role of Eco-Art for Understanding Multispecies Connections"
"Lucie Lederhendler","Alternative Aesthetics of Inclusive Design"
"Lucie Lederhendler","Moving Image and the Space around the Frame: Time-Based Installations and Forms of Experience"
"Lucie Lederhendler","Infinitesimal to Infinity: Ryoji Ikeda’s Data Composition and Space of Sensing"
"Lucie Lederhendler","Evolution of the Subject: Synthetic Biology in Fine Art Practice"
"Lucie Lederhendler","Unveiling Interfaces: A Software Studies Board Game for Algorithmic Literacy"
"Lucie Lederhendler","Productive Bodies"
"Lucie Lederhendler","DNA and RNA Sequences as Systems for Music Composition: Portfolio of Compositions"
"Lucija Ivsic","Transhuman Ansambl - Voice Beyond Language"
"Lucija Ivšić","Knowing VR through Practice"
"Lucila Ishitania","Game attributes and their relation to the values considered relevant for women"
"Lucile Haute","Kombucha as a Guide. Serendipitous Journey through Taste, Feminism, Free and Open Source Culture, and Ritual"
"Lucile Haute","Processes, Fabrication and Design with Kombucha Bacterial Cellulose: Mapping Practices"
"Lucy HG Solomon","When Do We Stop Being Human? Prefiguring Nonanthropocentric Thinking"
"Lucía Arias","Learning non-human. Can participatory practices change an institution?"
"Ludmila Postel","Soundwalking Deep Latent Spaces"
"Ludovic Font","Comparing Heuristic Rules and Masked Language Models for Entity Alignment in the Literature Domain"
"Ludovic Font","An Exploration of IFLA LRM for Literature Data Representation"
"Ludwig Wall","Substiports: User-Inserted Ad Hoc Objects as Reusable Structural Support for Unmodified FDM 3D Printers"
"Lui Lok Marco","PRESENTATION OF SELF IN MACHINE LIFE"
"Luis Alvarez","Interactive Design of Random Aesthetic Abstract Textures by Composition Principles"
"Luis Arandas","Akson, an Audio-Visual Environment for Networked Interaction and Performance"
"Luis D. Rivero Moreno","Art on the chain? On the possibilities of new media art preservation on the Web3"
"Luis Diago","The Unveiled City: Multicultural Representation of Tokyo by Hashtag Labeling on Instagram"
"Luis Garcia-Lara","Ethical aspects of integrating AI expert models in the process of retrieval and use of ICH registry material"
"Luis Ruiz","Sensattice: An emerging collaborative and modular sound sculpture"
"Luis Zayas-Garin","DMI Apprenticeship: Sharing and Replicating Musical Artefacts"
"Luiz Camillo Osorio","Introduction: “Is There a Place (Still) For Criticism?”"
"Luiz Ludwig","Numerical Existence: Reflections on Curating Artistic Data Visualization Exhibitions"
"Luiz Ludwig","Tangled Tracks"
